거래금액,거래유형,건축년도,년,등기일자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"      30,000", ,2013,2021, , 범어동,범어역아이위시,1,1,57.715, ,792-43,27260,19, , 
"      75,000", ,2006,2021, , 범어동,범어태왕아너스,1,4,84.9389, ,475-6,27260,8, , 
"     133,500", ,2003,2021, , 범어동,태왕유성하이빌,1,9,164.9369, ,614-3,27260,19, , 
"     148,000", ,2010,2021, , 범어동,범어삼성쉐르빌,1,9,100.9748, ,77-7,27260,13, , 
"      79,900", ,1983,2021, , 범어동,우방범어타운1,1,12,75.75, ,620,27260,4, , 
"      91,950", ,1983,2021, , 범어동,우방범어타운1,1,12,84.8, ,620,27260,5, , 
"     177,500", ,1982,2021, , 범어동,경남타운,1,15,84.55, ,320,27260,8, , 
"     100,000", ,1994,2021, , 범어동,우방청솔맨션,1,16,84.97, ,88,27260,5, , 
"     168,000", ,1987,2021, , 범어동,을지맨션,1,17,113.82, ,314-2,27260,2, , 
"      22,750", ,2013,2021, , 범어동,범어역아이위시,1,17,47.5197, ,792-43,27260,15, , 
"     120,000", ,2009,2021, , 범어동,범어역우방유쉘,1,19,120.0349, ,35-1,27260,13, , 
"     191,000", ,2009,2021, , 범어동,두산위브더제니스,1,20,137.0619, ,179,27260,37, , 
"     245,000", ,2009,2021, , 범어동,두산위브더제니스,1,20,171.4714, ,179,27260,13, , 
"     202,000", ,2009,2021, , 범어동,두산위브더제니스,1,21,143.7941, ,179,27260,11, , 
"      28,000", ,2020,2021, , 범어동,범어네거리클래시아,1,22,46.2928, ,551-7,27260,13, , 
"     133,000", ,2019,2021, , 범어동,범어센트럴푸르지오,1,23,84.993, ,2257,27260,11, , 
"     158,000", ,2009,2021, , 범어동,범어쌍용예가,1,23,159.3037, ,808,27260,7, , 
"     203,000", ,2009,2021, , 범어동,두산위브더제니스,1,24,137.0619, ,179,27260,38, , 
"      80,000", ,2006,2021, , 범어동,범어태왕아너스,1,25,84.9389, ,475-6,27260,21, , 
"     154,000", ,2019,2021, , 범어동,빌리브범어,1,26,84.9692, ,2253,27260,14, , 
"      14,500", ,2014,2021, , 범어동,범어역풀비체투인원,1,26,30.5895, ,790-10,27260,2, , 
"      81,700", ,2000,2021, , 범어동,범어청구하이츠,1,30,59.97, ,88-6,27260,17, , 
"      12,800", ,2017,2021, , 범어동,마크팰리스범어,1,31,26.8033, ,177-3,27260,5, , 
"      41,000", ,1979,2021, , 만촌동,아진,1,6,58.84, ,1025-5,27260,3, , 
"     129,000", ,2016,2021, , 만촌동,만촌3차화성파크드림,1,9,84.98, ,1479,27260,5, , 
"      69,000", ,2003,2021, , 만촌동,메트로팔레스3,1,12,84.93, ,1429,27260,5, , 
"      25,000", ,2004,2021, , 만촌동,한흥아트빌,1,14,84.765, ,1382,27260,5, , 
"      59,000", ,2003,2021, , 만촌동,메트로팔레스2,1,16,84.93, ,1356-7,27260,17, , 
"      23,500", ,1985,2021, , 만촌동,럭키골든,1,20,84.57, ,245,27260,4, , 
"     150,000", ,2018,2021, , 만촌동,수성포레힐,1,20,84.9972, ,1032-7,27260,9, , 
"      32,000", ,2016,2021, , 만촌동,만촌신동아파밀리에,1,21,84.9438, ,1480,27260,3, , 
"     149,500", ,2007,2021, , 만촌동,수성2차e-편한세상,1,22,147.432, ,1046-10,27260,3, , 
"      31,500", ,2016,2021, , 만촌동,더테라스,1,23,84.3817, ,1331-2,27260,7, , 
"      87,700", ,2016,2021, , 만촌동,만촌3차화성파크드림,1,25,59.9994, ,1479,27260,14, , 
"      80,000", ,1985,2021, , 만촌동,한도,1,25,61.86, ,868,27260,4, , 
"      23,000", ,1985,2021, , 만촌동,럭키골든,1,25,84.57, ,245,27260,3, , 
"      33,000", ,2005,2021, , 만촌동,만촌화성파크스위트,1,25,84.8923, ,272,27260,12, , 
"     117,000", ,2003,2021, , 만촌동,메트로팔레스2,1,27,176.33, ,1356-7,27260,13, , 
"      84,000", ,2006,2021, , 만촌동,만촌화성파크드림2,1,29,84.3194, ,861-8,27260,7, , 
"      48,000", ,1993,2021, , 수성동1가,오성우방,1,15,84.995, ,96-14,27260,9, , 
"      56,000", ,2005,2021, , 수성동1가,수성서한이다음,1,26,84.745, ,269-1,27260,11, , 
"     161,500", ,2009,2021, , 수성동3가,수성3가화성파크드림2단지,1,16,159.5388, ,275,27260,18, , 
"      34,200", ,1996,2021, , 수성동4가,수성보성,1,6,49.21, ,1090-6,27260,17, , 
"      39,900", ,1996,2021, , 수성동4가,쌍용화성,1,6,60, ,1090-5,27260,7, , 
"      85,000", ,2007,2021, , 수성동4가,범어삼환나우빌,1,17,84.9929, ,1005,27260,15, , 
"      17,000", ,1996,2021, , 수성동4가,우방사랑마을,1,22,34.44, ,1090-7,27260,10, , 
"      57,500", ,1996,2021, , 수성동4가,쌍용화성,1,23,84.9, ,1090-5,27260,17, , 
"      34,300", ,2002,2021, , 수성동4가,수성스위트빌(나동),1,25,81.84, ,1190-91,27260,3, , 
"      35,800", ,1996,2021, , 수성동4가,수성보성,1,27,49.21, ,1090-6,27260,14, , 
"      37,500", ,1996,2021, , 수성동4가,쌍용화성,1,28,60, ,1090-5,27260,9, , 
"      13,400", ,2000,2021, , 수성동4가,수성하이츠,1,28,30.69, ,1090-8,27260,17, , 
"      52,000", ,1996,2021, , 수성동4가,우방사랑마을,1,28,84.98, ,1090-7,27260,5, , 
